id,disagree,agree,emotion,fact,nasty,nice,attacking,respectful,sarcasm
10,True,False,True,False,False,True,False,False,False
11,True,False,False,False,False,True,False,False,False
12,True,False,False,True,False,True,False,True,False
13,True,False,False,False,False,True,False,True,False
14,False,True,True,False,False,True,False,True,False
15,True,False,False,False,False,False,False,False,False
16,False,True,True,False,False,True,False,True,False
20,False,True,False,False,False,True,False,True,False
21,False,False,True,False,False,True,False,True,False
22,False,True,True,False,False,True,False,True,False
23,False,False,True,False,False,False,False,False,True
24,False,False,False,True,False,False,False,False,False
25,False,True,False,True,False,True,False,True,False
26,True,False,False,True,False,True,False,True,False
30,True,False,False,False,False,True,False,False,False
31,True,False,True,False,False,False,False,False,False
32,True,False,True,False,True,False,True,False,False
33,False,False,True,False,False,True,False,True,False
34,True,False,True,False,False,False,False,False,False
35,True,False,True,False,False,False,False,False,True
36,False,False,True,False,False,False,False,False,True
40,True,False,False,False,False,False,True,False,False
41,False,False,False,True,False,False,False,True,False
42,True,False,True,False,False,False,False,False,False
43,True,False,False,True,False,False,False,False,False
44,True,False,False,True,False,True,False,False,False
45,True,False,True,False,False,False,False,False,False
46,True,False,False,False,True,False,True,False,False
50,True,False,False,False,False,True,False,False,False
51,False,False,False,True,False,False,False,True,False
52,False,False,False,False,False,True,False,True,False
53,False,True,False,True,False,True,False,True,False
54,True,False,False,True,False,True,False,True,False
55,True,False,False,True,False,True,False,False,False
56,True,False,False,True,False,True,False,False,False
60,False,False,False,False,False,True,False,True,False
61,True,False,False,True,False,False,True,False,False
62,True,False,True,False,True,False,True,False,False
63,False,False,False,True,False,True,False,True,False
64,True,False,True,False,True,False,True,False,False
65,True,False,False,True,False,True,False,False,False
66,True,False,False,False,False,False,False,False,False
70,False,False,False,False,False,False,False,False,False
71,True,False,False,False,False,False,False,False,False
72,True,False,False,False,False,False,False,False,False
73,False,False,False,False,False,False,False,False,False
74,True,False,False,False,False,False,False,False,False
75,False,False,False,False,False,False,False,False,False
76,True,False,False,False,False,False,False,True,False
80,True,False,True,False,False,False,False,False,False
81,False,False,True,False,False,False,False,False,True
82,True,False,True,False,False,False,False,False,False
83,False,False,False,False,False,False,False,False,False
84,False,True,False,False,False,True,False,True,False
85,False,False,False,True,False,False,False,False,False
86,False,False,False,False,False,False,False,False,False
90,False,False,False,True,False,True,False,True,False
91,True,False,False,True,False,True,False,True,False
92,False,True,False,False,False,True,False,False,False
93,False,False,False,False,False,True,False,False,False
94,False,False,False,True,False,True,False,True,False
95,False,False,False,False,False,False,False,False,False
96,False,False,False,False,False,True,False,True,False
100,False,False,False,False,False,True,False,True,False
101,True,False,False,False,False,True,False,True,False
102,False,True,False,False,False,True,False,True,False
103,True,False,True,False,False,True,False,True,False
104,False,True,False,False,False,True,False,True,False
105,True,False,False,False,True,False,True,False,False
106,True,False,True,False,False,False,False,False,False
110,False,False,True,False,False,False,False,False,False
111,False,False,False,False,False,False,False,False,False
112,False,True,False,False,False,True,False,True,False
113,True,False,True,False,False,True,False,False,False
114,False,False,False,False,False,True,False,False,False
115,False,False,True,False,False,True,False,False,False
116,False,False,False,False,False,False,False,False,False
120,True,False,False,True,False,True,False,True,False
121,False,True,False,True,False,True,False,True,False
122,False,False,False,False,False,True,False,True,False
123,False,True,False,False,False,True,False,True,False
124,False,False,False,True,False,True,False,True,False
125,True,False,False,True,False,True,False,True,False
126,False,True,False,False,False,True,False,True,False
130,True,False,True,False,True,False,True,False,False
131,False,False,False,True,False,True,False,True,False
132,True,False,False,False,False,False,True,False,False
133,False,True,False,True,False,True,False,True,False
134,False,False,False,False,False,False,True,False,True
135,False,False,False,True,False,True,False,True,False
136,True,False,False,False,False,False,False,False,False
140,True,False,False,False,False,False,False,False,False
141,True,False,False,False,False,False,True,False,False
142,False,True,False,True,False,True,False,True,False
143,True,False,True,False,False,True,False,True,False
144,True,False,False,True,False,False,False,False,False
145,False,False,False,False,False,True,False,True,False
146,False,False,False,True,False,True,False,True,False
150,True,False,True,False,True,False,True,False,True
151,False,True,False,False,False,True,False,True,False
152,True,False,True,False,True,False,True,False,True
153,True,False,False,True,False,True,False,True,False
154,True,False,False,True,False,True,False,True,False
155,False,True,False,True,False,True,False,True,False
156,True,False,True,False,False,False,True,False,False
160,False,True,True,False,False,True,False,True,False
161,True,False,True,False,True,False,True,False,False
162,True,False,False,True,True,False,True,False,False
163,False,False,False,True,False,True,False,True,False
164,True,False,False,True,True,False,True,False,False
165,True,False,False,True,False,False,False,False,False
166,True,False,False,False,True,False,True,False,False
170,True,False,True,False,False,False,False,False,False
171,True,False,True,False,False,False,False,False,True
172,True,False,False,False,False,False,False,False,False
173,True,False,False,True,False,False,True,False,False
174,True,False,True,False,True,False,True,False,False
175,False,False,True,False,False,False,False,False,False
176,True,False,True,False,True,False,True,False,False
180,False,False,True,False,True,False,False,False,True
181,False,True,False,False,False,False,False,True,False
182,False,True,False,False,False,True,False,True,False
183,False,False,False,True,False,True,False,False,False
184,False,False,False,False,False,False,False,False,False
185,True,False,False,False,False,False,False,False,False
186,True,False,True,False,False,False,True,False,False
190,True,False,False,True,False,False,False,False,False
191,True,False,False,True,False,True,False,False,False
192,True,False,False,True,False,True,False,False,False
193,False,False,False,False,False,True,False,True,False
194,False,True,False,False,False,True,False,False,False
195,True,False,False,False,False,False,False,False,False
196,True,False,False,False,True,False,True,False,False
200,True,False,False,False,True,False,True,False,True
201,True,False,False,False,True,False,True,False,False
202,True,False,False,False,False,True,False,False,False
203,True,False,True,False,False,False,False,False,False
204,True,False,False,False,True,False,True,False,False
205,True,False,False,True,False,True,False,False,False
206,False,False,True,False,False,False,True,False,True
210,True,False,False,True,False,True,False,False,False
211,True,False,False,True,False,False,True,False,False
212,True,False,False,False,False,True,False,True,False
213,False,False,True,False,False,True,False,True,False
214,True,False,True,False,False,False,True,False,False
215,True,False,False,True,False,True,False,False,False
216,True,False,False,True,False,True,False,True,False
220,False,False,False,True,False,True,False,True,False
221,False,False,True,False,False,False,False,False,False
222,True,False,True,False,False,True,False,True,False
223,True,False,False,False,False,True,False,True,False
224,True,False,False,False,False,True,False,True,False
225,True,False,False,False,True,False,True,False,False
226,True,False,False,True,False,True,False,True,False
230,True,False,False,True,False,True,False,True,False
231,True,False,False,True,False,True,False,True,False
232,True,False,False,False,False,True,False,False,False
233,True,False,False,True,False,True,False,True,False
234,True,False,False,False,False,True,False,False,False
235,True,False,False,True,False,True,False,False,False
236,True,False,False,False,False,False,False,False,False
240,True,False,False,False,False,True,False,True,False
241,False,False,False,False,False,True,False,True,False
242,False,False,False,True,False,True,False,True,False
243,True,False,True,False,False,True,False,False,False
244,False,True,False,True,False,True,False,True,False
245,False,True,False,True,False,True,False,True,False
246,False,False,True,False,False,True,False,True,False
250,False,False,False,False,False,True,False,True,False
251,False,False,True,False,False,True,False,True,False
252,True,False,False,False,False,False,False,False,False
253,False,False,True,False,False,True,False,True,False
254,False,False,False,True,False,True,False,True,False
255,False,False,False,True,False,True,False,True,False
256,True,False,False,False,False,True,False,True,False
260,True,False,True,False,False,False,False,False,True
261,True,False,True,False,False,False,True,False,True
262,False,False,False,False,False,True,False,True,False
263,False,False,False,False,False,True,False,True,False
264,False,False,False,True,False,True,False,True,False
265,False,True,False,False,False,True,False,True,False
