id,train
10,True
11,True
12,True
13,False
14,True
15,True
16,False
20,True
21,True
22,True
23,True
24,True
25,True
26,True
30,False
31,True
32,True
33,True
34,True
35,True
36,True
40,True
41,True
42,True
43,True
44,True
45,False
46,False
50,True
51,True
52,True
53,True
54,True
55,True
56,True
60,True
61,True
62,True
63,True
64,True
65,True
66,False
70,True
71,True
72,True
73,False
74,True
75,True
76,False
80,True
81,True
82,True
83,True
84,False
85,True
86,True
90,True
91,True
92,True
93,True
94,True
95,True
96,False
100,True
101,True
102,True
103,True
104,False
105,True
106,True
110,True
111,True
112,True
113,True
114,True
115,True
116,True
120,True
121,True
122,True
123,False
124,True
125,True
126,True
130,True
131,True
132,True
133,True
134,False
135,True
136,False
140,True
141,True
142,False
143,True
144,False
145,True
146,True
150,False
151,True
152,False
153,False
154,True
155,True
156,True
160,True
161,True
162,True
163,True
164,True
165,True
166,True
170,True
171,True
172,False
173,True
174,True
175,True
176,False
180,True
181,False
182,True
183,True
184,True
185,True
186,True
190,False
191,True
192,True
193,True
194,True
195,False
196,False
200,True
201,False
202,True
203,True
204,True
205,True
206,True
210,False
211,True
212,True
213,False
214,True
215,True
216,True
220,True
221,True
222,True
223,True
224,False
225,True
226,True
230,True
231,True
232,True
233,True
234,True
235,True
236,False
240,True
241,True
242,True
243,True
244,True
245,False
246,True
250,True
251,True
252,True
253,False
254,False
255,True
256,True
260,True
261,True
262,True
263,False
264,False
265,True
266,True
270,False
271,True
273,True
274,True
275,True
276,False
280,True
281,True
282,False
283,True
284,True
285,True
286,True
290,True
291,True
292,False
293,True
294,True
295,True
296,False
300,True
301,True
302,True
303,True
304,True
305,True
306,True
310,True
311,False
312,True
313,True
314,True
315,True
316,True
320,False
321,True
322,True
323,True
324,True
325,True
326,True
330,True
331,True
332,True
333,True
334,True
335,True
336,True
340,True
341,False
342,False
343,True
344,True
345,True
346,True
350,True
351,False
352,True
353,True
354,True
355,True
356,True
360,True
361,True
362,True
363,False
364,True
365,False
366,False
370,True
371,True
372,True
373,True
374,True
375,True
376,True
380,False
381,True
382,True
383,True
384,True
385,True
386,True
390,False
391,True
392,True
393,True
394,True
395,False
396,True
400,True
401,True
402,True
403,True
404,True
405,True
406,True
410,True
411,False
412,True
413,True
414,True
415,True
416,True
420,True
421,True
422,True
423,False
424,True
426,True
430,True
431,True
432,True
433,True
434,True
435,True
436,False
440,True
441,True
442,True
443,False
444,False
445,True
446,True
450,True
451,True
452,True
453,True
454,True
455,True
456,True
460,True
461,True
462,False
463,True
464,True
465,True
466,True
470,True
471,False
472,True
473,True
474,True
475,True
476,False
480,False
481,False
482,True
483,True
484,True
485,True
486,True
490,False
491,True
492,True
493,False
494,True
495,True
496,True
500,True
501,True
502,False
503,True
504,True
505,True
506,True
510,True
511,True
512,True
513,True
514,False
515,True
516,True
520,False
